gene,region,average_expression,log2FC,pval,adj_pval,direction
VIL1,Ventral,0.1298,-1.705,9.41e-12,7.69e-10,de-enriched
BMP2,Ventral,0.1285,-1.723,6.4e-10,3.71e-8,de-enriched
GPR26,Ventral,0.0105,-1.723,1.18e-4,0.00196,de-enriched
LOC101751895,Ventral,0.0038,-1.727,0.00134,0.0161,de-enriched
FGF23,Ventral,0.0033,-1.743,1.87e-4,0.00294,de-enriched
EPHA5,Ventral,0.0348,-1.751,3.84e-9,1.82e-7,de-enriched
TBX4,Ventral,0.0025,-1.773,0.00211,0.0235,de-enriched
FAM13C,Ventral,0.0747,-1.775,1.64e-12,1.58e-10,de-enriched
LDB3,Ventral,0.0528,-1.781,1.48e-8,6.16e-7,de-enriched
LOC101748323,Ventral,0.0074,-1.783,2.87e-7,9.05e-6,de-enriched
GRIN3A,Ventral,0.1502,-1.792,4.39e-17,9.73e-15,de-enriched
KIAA1755,Ventral,0.004,-1.796,0.00133,0.016,de-enriched
SLC32A1,Ventral,0.0106,-1.805,7.14e-5,0.00126,de-enriched
ANOS1,Ventral,0.3921,-1.824,1.0600000000000001e-29,3.58e-26,de-enriched
C1QTNF4,Ventral,0.307,-1.831,7.13e-21,4.32e-18,de-enriched
LOC112531504,Ventral,0.0063,-1.839,7.91e-5,0.00138,de-enriched
C5AR1,Ventral,0.0068,-1.846,1.52e-5,3.25e-4,de-enriched
LOC107052330,Ventral,0.0093,-1.849,1.67e-7,5.53e-6,de-enriched
TSGA10,Ventral,0.0042,-1.853,5.37e-5,9.89e-4,de-enriched
TBX2,Ventral,0.4851,-1.862,1.44e-20,7.74e-18,de-enriched
LOC112532754,Ventral,0.0104,-1.868,4.95e-9,2.29e-7,de-enriched
LOC418421,Ventral,0.0042,-1.875,1.32e-5,2.87e-4,de-enriched
BOLL,Ventral,0.0024,-1.912,3.11e-5,6.1e-4,de-enriched
AJAP1,Ventral,0.0418,-1.938,1.16e-8,4.97e-7,de-enriched
LOC107051866,Ventral,0.0019,-1.949,8.26e-4,0.0108,de-enriched
LOC100857302,Ventral,0.0048,-1.954,2.12e-4,0.00332,de-enriched
ENOX1,Ventral,0.5604,-1.973,9.32e-22,6.14e-19,de-enriched
AFF3,Ventral,0.1316,-1.981,2.36e-10,1.46e-8,de-enriched
CRABP1,Ventral,0.6583,-1.982,2.21e-15,3.71e-13,de-enriched
PRSS35,Ventral,0.0737,-1.991,7.21e-10,4.13e-8,de-enriched
LOC101750459,Ventral,0.0081,-2.015,2.07e-5,4.24e-4,de-enriched
UACA,Ventral,0.197,-2.023,4.26e-22,3.15e-19,de-enriched
LOC112532753,Ventral,0.0897,-2.04,1.8e-16,3.53e-14,de-enriched
MIR6555,Ventral,0.0175,-2.046,1.43e-10,9.18e-9,de-enriched
SLC39A8,Ventral,0.0094,-2.049,1.02e-8,4.44e-7,de-enriched
SCGN,Ventral,0.0014,-2.123,0.00481,0.0462,de-enriched
LOC101752117,Ventral,0.0046,-2.13,1.13e-6,3.12e-5,de-enriched
LOC107054930,Ventral,0.0054,-2.16,1.71e-6,4.54e-5,de-enriched
LOC112532788,Ventral,0.0072,-2.161,1.65e-7,5.48e-6,de-enriched
BAMBI,Ventral,0.4681,-2.175,8.77e-19,3.06e-16,de-enriched
PVALB,Ventral,0.0157,-2.199,2.77e-9,1.36e-7,de-enriched
STAC,Ventral,0.0164,-2.207,5.99e-6,1.41e-4,de-enriched
DRD1,Ventral,0.1287,-2.208,1.3799999999999998e-23,1.43e-20,de-enriched
DBX2,Ventral,0.006,-2.241,6.14e-5,0.0011,de-enriched
GJA1,Ventral,0.8376,-2.253,1.67e-20,8.79e-18,de-enriched
LOC419429,Ventral,0.0322,-2.264,5.05e-15,7.72e-13,de-enriched
TFCP2L1,Ventral,0.0082,-2.336,4.16e-8,1.55e-6,de-enriched
LOC107053545,Ventral,0.0038,-2.345,0.00238,0.0259,de-enriched
LOC101748577,Ventral,0.1074,-2.354,1.95e-22,1.59e-19,de-enriched
GBX1,Ventral,0.0063,-2.379,2.67e-7,8.52e-6,de-enriched
SLC38A11,Ventral,0.0268,-2.411,4.26e-9,2e-7,de-enriched
LOC768429,Ventral,0.0016,-2.413,0.00408,0.0407,de-enriched
MKX,Ventral,0.0183,-2.441,5.54e-9,2.54e-7,de-enriched
NR2F2,Ventral,0.6129,-2.442,8.55e-30,3.38e-26,de-enriched
PROK2,Ventral,7e-4,-2.45,0.00489,0.0468,de-enriched
RNF223,Ventral,0.0086,-2.462,2.28e-9,1.16e-7,de-enriched
LOC112532175,Ventral,0.0264,-2.48,4.29e-7,1.29e-5,de-enriched
LY86,Ventral,0.0013,-2.498,5.93e-4,0.00813,de-enriched
LOC112531304,Ventral,0.0013,-2.537,0.00304,0.0319,de-enriched
LOC107053759,Ventral,0.0058,-2.54,2.67e-4,0.00404,de-enriched
AQP4,Ventral,0.0022,-2.558,5.44e-5,0.001,de-enriched
LOC107052867,Ventral,0.0083,-2.56,1.11e-7,3.81e-6,de-enriched
LOC107054519,Ventral,0.0025,-2.611,7.7e-4,0.0101,de-enriched
LOC101748621,Ventral,0.085,-2.617,1.44e-15,2.48e-13,de-enriched
SLC40A1,Ventral,0.2531,-2.669,1.05e-17,2.79e-15,de-enriched
LOC112533494,Ventral,0.0415,-2.769,4.07e-16,7.42e-14,de-enriched
LOC101749175,Ventral,0.2269,-2.769,7.79e-20,3.77e-17,de-enriched
SEMA3D,Ventral,0.0442,-2.817,6.04e-6,1.42e-4,de-enriched
NR0B1,Ventral,0.0783,-2.825,1.19e-8,5.04e-7,de-enriched
SPATA22,Ventral,0.0023,-2.877,2.56e-4,0.00391,de-enriched
CLIC5,Ventral,0.0059,-2.882,7.6e-7,2.17e-5,de-enriched
IL1RAP,Ventral,0.0195,-2.895,3.41e-8,1.31e-6,de-enriched
LOC112533503,Ventral,0.0039,-2.916,4.8e-6,1.15e-4,de-enriched
LOC112530584,Ventral,0.0361,-2.986,8.26e-9,3.65e-7,de-enriched
