gene,region,average_expression,log2FC,pval,adj_pval,direction
CYP26C1,HAA,0.0074,2.877,1.1e-13,4.42e-10,enriched
AKR1D1,HAA,0.0068,2.335,1.67e-7,1.43e-4,enriched
FGF8,HAA,0.225,1.702,4.66e-14,2.76e-10,enriched
LOC101749752,HAA,0.0056,1.468,1.55e-5,0.00488,enriched
HHEX,HAA,0.0077,1.44,2.76e-7,1.93e-4,enriched
LOC112530430,HAA,0.0078,1.22,8.52e-5,0.0182,enriched
LOC423301,HAA,0.0271,1.046,1.44e-7,1.31e-4,enriched
MYOF,HAA,0.0563,1.011,4.37e-9,7.4e-6,enriched
NPY,HAA,0.1221,1.009,3.07e-4,0.0481,enriched
SOX3,HAA,0.0105,0.984,5.22e-5,0.0126,enriched
EMB,HAA,0.0799,0.858,5.07e-6,0.00185,enriched
LOC422872,HAA,0.2095,0.842,6.69e-9,9.91e-6,enriched
FOXG1,HAA,0.0955,0.842,2.64e-9,5.57e-6,enriched
TMEM59L,HAA,0.0531,0.819,2.18e-6,9.77e-4,enriched
LOC112529956,HAA,0.0219,0.815,3.06e-5,0.00872,enriched
LRRC3B,HAA,0.0201,0.801,4.12e-5,0.011,enriched
LOC101750883,HAA,0.0304,0.793,3.09e-5,0.00872,enriched
BMP2,HAA,0.1285,0.78,7.92e-5,0.0172,enriched
OCA2,HAA,0.0631,0.754,2.03e-5,0.00602,enriched
GRIN2A,HAA,0.0787,0.727,1.34e-5,0.00434,enriched
CYP26A1,HAA,0.0319,0.725,4.77e-5,0.0118,enriched
PARP8,HAA,0.2953,0.723,7.02e-7,3.96e-4,enriched
PAX2,HAA,0.2184,0.691,1.01e-10,2.98e-7,enriched
CNMD,HAA,0.0481,0.686,8.96e-5,0.0186,enriched
SHE,HAA,0.0274,0.624,1.32e-4,0.0253,enriched
CRABP1,HAA,0.6583,0.614,1.97e-6,9.72e-4,enriched
LOC419429,HAA,0.0322,0.595,9.07e-6,0.00303,enriched
HEY1,HAA,0.7002,0.575,5.08e-9,8.04e-6,enriched
B3GALT2,HAA,0.0359,0.553,3.05e-6,0.00126,enriched
IGFBP5,HAA,0.6439,0.544,4.99e-5,0.0122,enriched
SOSTDC1,HAA,0.141,0.543,4.18e-6,0.0016,enriched
VWC2,HAA,0.1528,0.518,2.16e-9,5.11e-6,enriched
PDE4D,HAA,0.1502,0.509,1.97e-4,0.0354,enriched
HMX1,HAA,0.7218,0.507,1.39e-6,7.16e-4,enriched
TPD52,HAA,0.049,0.496,2.02e-4,0.0354,enriched
WDR86,HAA,0.024,0.481,1.97e-4,0.0354,enriched
DUSP6,HAA,0.1654,0.475,9.29e-5,0.019,enriched
RARB,HAA,1.055,0.453,6.96e-7,3.96e-4,enriched
LOC107054371,HAA,0.1088,0.445,3.65e-7,2.42e-4,enriched
DOCK3,HAA,0.9475,0.434,1.29e-4,0.0248,enriched
BMP7,HAA,0.2599,0.411,2.56e-8,2.89e-5,enriched
SPRY1,HAA,0.1759,0.401,7.41e-6,0.00258,enriched
SPRY2,HAA,0.2468,0.378,3.74e-6,0.00148,enriched
JAG2,HAA,0.0871,0.372,1.88e-4,0.0346,enriched
POLR3E,HAA,0.3187,0.371,5.39e-8,5.8e-5,enriched
FBXW4,HAA,0.1769,0.37,1.04e-6,5.62e-4,enriched
SOHO-1,HAA,0.4396,0.356,6.95e-7,3.96e-4,enriched
ADGRA1L,HAA,0.7408,0.317,4.61e-5,0.0116,enriched
EFNA2,HAA,0.1137,0.315,2.26e-6,9.94e-4,enriched
PROX1,HAA,0.8039,0.312,4.69e-5,0.0117,enriched
NAT8L,HAA,0.1719,0.29,6.48e-5,0.0144,enriched
EXOC6,HAA,0.2429,0.286,5.33e-6,0.00192,enriched
AMER2,HAA,0.6271,0.285,4.25e-5,0.0112,enriched
TSHZ3,HAA,0.1866,0.27,1.08e-4,0.0212,enriched
TGIF1,HAA,0.4266,0.268,5.5e-6,0.00195,enriched
TNFSF10,HAA,0.376,0.26,2.16e-6,9.77e-4,enriched
FAM171B,HAA,0.7727,0.238,2.48e-7,1.78e-4,enriched
FERMT2,HAA,1.2015,0.234,4.12e-6,0.0016,enriched
FAM81A,HAA,0.2033,0.231,2.9e-4,0.0475,enriched
ACYP2,HAA,0.6302,0.228,4.03e-5,0.0109,enriched
DBNDD1,HAA,0.6826,0.227,3.98e-7,2.55e-4,enriched
NAV2,HAA,1.3937,0.213,4.84e-7,3.02e-4,enriched
PTPRZ1,HAA,1.2582,0.211,1.91e-7,1.51e-4,enriched
NDRG1,HAA,1.0605,0.208,1.05e-4,0.0209,enriched
CTNNBIP1,HAA,0.5561,0.206,3.31e-6,0.00133,enriched
ABLIM1,HAA,0.8836,0.196,6.3e-5,0.0142,enriched
USP25,HAA,0.5672,0.191,2.61e-4,0.0436,enriched
BTG1,HAA,1.5474,0.189,1.48e-4,0.0276,enriched
SH3BGRL,HAA,0.451,0.187,8.82e-5,0.0185,enriched
ETV5,HAA,0.4192,0.182,3.98e-5,0.0108,enriched
NLGN1,HAA,1.0817,0.173,7.7300000000000005e-07,4.26e-4,enriched
CCSER2,HAA,0.9181,0.165,3.19e-4,0.0497,enriched
PLXNA1,HAA,0.7531,0.161,2.03e-4,0.0354,enriched
FJX1,HAA,1.5471,0.155,2.06e-6,9.77e-4,enriched
SEC62,HAA,1.0907,0.151,1.78e-5,0.00548,enriched
SFT2D1,HAA,0.6369,0.12,6.12e-5,0.014,enriched
SPTBN1,HAA,1.1417,0.109,1.8e-5,0.00548,enriched
OTUD6B,HAA,0.5531,-0.125,5.36e-5,0.0127,de-enriched
NRCAM,HAA,1.0341,-0.132,9.75e-5,0.0196,de-enriched
ACAD9,HAA,0.5904,-0.136,2.15e-4,0.0371,de-enriched
ACAP2,HAA,0.5039,-0.142,6.51e-5,0.0144,de-enriched
MLLT1,HAA,0.4376,-0.155,5.81e-5,0.0134,de-enriched
FOXP2,HAA,1.2755,-0.16,1.62e-5,0.00506,de-enriched
CPAMD8,HAA,0.3928,-0.161,3.7e-5,0.0102,de-enriched
SLC25A13,HAA,0.3277,-0.186,1.42e-5,0.00455,de-enriched
DOK6,HAA,1.4382,-0.194,3.02e-4,0.048,de-enriched
DPYD,HAA,0.6016,-0.204,2e-4,0.0354,de-enriched
NEDD1,HAA,0.2302,-0.208,1.26e-4,0.0245,de-enriched
RELL1,HAA,0.1443,-0.212,2.03e-4,0.0354,de-enriched
CLUH,HAA,0.203,-0.214,1.48e-4,0.0276,de-enriched
LOC421419,HAA,0.1096,-0.224,2.25e-4,0.0386,de-enriched
AHCTF1,HAA,0.184,-0.232,8e-5,0.0172,de-enriched
DHRS11,HAA,0.3663,-0.24,1.19e-6,6.25e-4,de-enriched
PMEPA1,HAA,0.6887,-0.245,5.3e-5,0.0127,de-enriched
KSR1,HAA,0.4089,-0.247,9.06e-5,0.0187,de-enriched
ATP8,HAA,0.177,-0.25,1.68e-4,0.0311,de-enriched
BCL2,HAA,1.1785,-0.281,6.09e-7,3.7e-4,de-enriched
SNX11,HAA,0.0956,-0.286,2.64e-4,0.0438,de-enriched
C3orf70,HAA,0.068,-0.288,3e-4,0.048,de-enriched
LEPROT,HAA,0.0973,-0.301,1.98e-4,0.0354,de-enriched
USP44,HAA,0.1945,-0.308,1.98e-5,0.00595,de-enriched
EFCC1,HAA,0.546,-0.324,1.18e-5,0.00388,de-enriched
SUSD3,HAA,0.0907,-0.329,1.19e-4,0.0233,de-enriched
INPP4B,HAA,0.1449,-0.361,3.68e-7,2.42e-4,de-enriched
MACROD2,HAA,0.5873,-0.366,3.07e-6,0.00126,de-enriched
FAM19A5,HAA,0.8078,-0.371,4.45e-5,0.0115,de-enriched
CLVS1,HAA,0.3093,-0.38,2.83e-5,0.00819,de-enriched
SLC35F1,HAA,0.7164,-0.396,1.21e-7,1.15e-4,de-enriched
NUAK1,HAA,0.0899,-0.417,5.54e-5,0.013,de-enriched
CYP7B1,HAA,0.1193,-0.445,4.49e-5,0.0115,de-enriched
SYT7,HAA,0.1201,-0.445,9.45e-5,0.0191,de-enriched
ASB7,HAA,0.249,-0.469,1.83e-8,2.22e-5,de-enriched
METTL24,HAA,0.2272,-0.488,2.02e-10,5.33e-7,de-enriched
SMAD9,HAA,0.0597,-0.502,2.61e-4,0.0436,de-enriched
FREM2,HAA,0.1089,-0.518,2.37e-4,0.0404,de-enriched
LRRTM4,HAA,0.3266,-0.522,2.94e-4,0.0477,de-enriched
MYO16,HAA,0.0794,-0.54,8.48e-6,0.00287,de-enriched
CAP2,HAA,0.135,-0.541,4.35e-5,0.0113,de-enriched
CADPS,HAA,0.189,-0.548,2.06e-6,9.77e-4,de-enriched
NR2F2,HAA,0.6129,-0.567,1.69e-7,1.43e-4,de-enriched
NR2F1,HAA,1.0185,-0.588,1.79e-7,1.46e-4,de-enriched
FGFR2,HAA,0.0406,-0.596,3.03e-4,0.048,de-enriched
LOC112530549,HAA,0.1093,-0.601,6.93e-5,0.0152,de-enriched
KCNIP4,HAA,0.5473,-0.605,1.61e-8,2.12e-5,de-enriched
ROR1,HAA,0.1242,-0.614,2.67e-6,0.00113,de-enriched
MDGA1,HAA,0.2155,-0.622,1.46e-4,0.0276,de-enriched
MDK,HAA,1.2494,-0.642,9.56e-9,1.33e-5,de-enriched
EPHB3,HAA,0.333,-0.646,3.26e-5,0.0091,de-enriched
SLIT2,HAA,0.2621,-0.663,1.72e-6,8.67e-4,de-enriched
TMEM132B,HAA,0.1085,-0.691,3e-4,0.048,de-enriched
ZIC3,HAA,0.2171,-0.703,2.3e-7,1.74e-4,de-enriched
MYBPC1,HAA,0.0423,-0.753,8.59e-5,0.0182,de-enriched
LOC101748621,HAA,0.085,-0.785,2.35e-7,1.74e-4,de-enriched
LYPD6,HAA,0.2836,-0.822,4.57e-6,0.00172,de-enriched
BMPR1B,HAA,0.6148,-0.829,2.82e-4,0.0465,de-enriched
LOC101749285,HAA,0.0163,-0.937,5.72e-5,0.0133,de-enriched
EYA2,HAA,0.0504,-0.942,2.57e-4,0.0435,de-enriched
LOC112530584,HAA,0.0361,-1.084,1.12e-7,1.1e-4,de-enriched
LOC101749311,HAA,0.0311,-1.12,7.64e-6,0.00262,de-enriched
LOC112530550,HAA,0.1038,-1.3,2.58e-6,0.00111,de-enriched
ALDH1A1,HAA,0.5895,-1.404,1.88e-8,2.22e-5,de-enriched
EFNB2,HAA,0.471,-1.418,1.12e-13,4.42e-10,de-enriched
TBX5,HAA,0.2419,-1.493,1.02e-7,1.05e-4,de-enriched
LOC107053730,HAA,0.2464,-1.722,2.36e-5,0.00692,de-enriched
VAX1,HAA,0.253,-1.725,2.82e-9,5.57e-6,de-enriched
LOC101750669,HAA,0.116,-1.994,6.03e-13,2.04e-9,de-enriched
NTN4,HAA,0.0247,-2.028,2.14e-6,9.77e-4,de-enriched
EPHA3,HAA,0.5771,-2.086,8.2e-17,9.72e-13,de-enriched
LOC426155,HAA,0.1239,-2.117,2.7e-16,2.14e-12,de-enriched
ALDH1A3,HAA,0.1965,-2.272,4.35e-9,7.4e-6,de-enriched
EPHA8,HAA,0.0067,-2.558,4.94e-6,0.00183,de-enriched
FOXD1,HAA,0.2953,-3.136,6.9e-18,1.64e-13,de-enriched
C24H11orf34,Temporal,1e-4,10,3.87e-4,0.0445,enriched
EPHA8,Temporal,0.0067,3.281,1.61e-13,5.46e-10,enriched
LOC107051956,Temporal,0.0014,3.085,3.11e-6,0.00142,enriched
FOXD1,Temporal,0.2953,2.964,6.22e-27,1.47e-22,enriched
LOXL3,Temporal,8e-4,2.704,3.65e-5,0.00802,enriched
LOC101750669,Temporal,0.116,2.609,6.230000000000001e-21,2.95e-17,enriched
LOC426155,Temporal,0.1239,2.417,7.260000000000001e-22,4.3e-18,enriched
EPHA3,Temporal,0.5771,1.993,2.64e-25,3.1300000000000002e-21,enriched
LOC415312,Temporal,0.0074,1.851,1.45e-7,1.38e-4,enriched
LOC107049314,Temporal,0.0109,1.786,5.09e-6,0.00212,enriched
PHOX2B,Temporal,0.0068,1.702,4.88e-5,0.00973,enriched
LOC107054253,Temporal,0.0022,1.622,1.83e-4,0.025,enriched
LOC112533179,Temporal,0.006,1.608,3.97e-5,0.00864,enriched
FAM198B,Temporal,0.0189,1.59,6.32e-7,3.66e-4,enriched
NTN4,Temporal,0.0247,1.562,1.12e-5,0.00375,enriched
SEMA3E,Temporal,0.0065,1.523,2.85e-5,0.00696,enriched
TOM1L1,Temporal,0.0031,1.499,2.07e-4,0.0277,enriched
FNDC5,Temporal,0.0072,1.47,3.02e-4,0.0366,enriched
ADCYAP1,Temporal,0.1201,1.462,1.62e-7,1.42e-4,enriched
BCL11B,Temporal,0.0677,1.34,1.45e-9,1.91e-6,enriched
GPR26,Temporal,0.0105,1.315,3.4e-4,0.0399,enriched
SNTB1,Temporal,0.013,1.286,3.31e-6,0.00148,enriched
KIF26B,Temporal,0.0209,1.228,9.65e-6,0.00332,enriched
GFRA4,Temporal,0.0183,1.213,4.33e-6,0.00187,enriched
HGF,Temporal,0.0801,1.206,5.68e-6,0.00224,enriched
MEGF6L,Temporal,0.0734,1.204,1.13e-10,1.91e-7,enriched
FAM155A,Temporal,0.0253,1.19,1.03e-4,0.0163,enriched
SLIT2,Temporal,0.2621,1.101,3.51e-10,5.2e-7,enriched
ZBTB7C,Temporal,0.0601,1.08,2.23e-4,0.0297,enriched
PCP4,Temporal,0.0289,1.059,1.71e-4,0.0236,enriched
RELN,Temporal,0.0909,1.058,3.61e-5,0.00802,enriched
LOC101748035,Temporal,0.1107,1.036,1.07e-4,0.0167,enriched
LTBP2,Temporal,0.0057,1.033,1.18e-4,0.0179,enriched
ZIC3,Temporal,0.2171,1.013,9.81e-11,1.85e-7,enriched
EFEMP1,Temporal,0.0392,1.006,3.54e-5,0.00802,enriched
LOXL1,Temporal,0.1802,0.991,9.02e-8,8.91e-5,enriched
FSTL5,Temporal,0.2615,0.986,7.39e-5,0.0131,enriched
RASGRF1,Temporal,0.0362,0.965,6.62e-5,0.0121,enriched
KCNB2,Temporal,0.1517,0.913,8.85e-8,8.91e-5,enriched
S1PR3,Temporal,0.0179,0.911,1.45e-4,0.0211,enriched
TNC,Temporal,0.2079,0.897,1.53e-4,0.022,enriched
CACNA1C,Temporal,0.0221,0.887,4.72e-5,0.00957,enriched
SLCO4A1,Temporal,0.0187,0.881,1.39e-4,0.0205,enriched
KCNIP4,Temporal,0.5473,0.872,6.46e-12,1.7e-8,enriched
PPARGC1A,Temporal,0.2301,0.87,5.84e-9,7.29e-6,enriched
SGCD,Temporal,0.1111,0.846,3.79e-7,2.43e-4,enriched
TNFRSF11B,Temporal,0.0103,0.841,2.48e-4,0.0323,enriched
LOC107053584,Temporal,0.0405,0.824,1.3e-4,0.0193,enriched
CSDC2,Temporal,0.04,0.801,4.13e-7,2.57e-4,enriched
SLC18A3,Temporal,0.022,0.8,1.94e-5,0.00537,enriched
PCDH10,Temporal,0.0594,0.791,9.2e-5,0.0151,enriched
GRIK2,Temporal,0.0224,0.778,1.81e-4,0.0248,enriched
GUCY1A2,Temporal,0.0212,0.759,1.97e-5,0.00537,enriched
CACNA2D1,Temporal,0.2102,0.732,3.07e-5,0.00716,enriched
GRIN3A,Temporal,0.1502,0.729,4.5e-6,0.00191,enriched
LOC107053541,Temporal,0.0633,0.728,6.6e-5,0.0121,enriched
ESPN,Temporal,0.1235,0.72,2.36e-4,0.031,enriched
LOC107054810,Temporal,0.1171,0.709,4.28e-5,0.00898,enriched
NWD2,Temporal,0.0311,0.699,1.11e-4,0.0171,enriched
HTRA3,Temporal,0.0641,0.675,5.01e-5,0.0099,enriched
RALYL,Temporal,0.1448,0.666,2.94e-5,0.00704,enriched
SCN8A,Temporal,0.0562,0.649,3.33e-4,0.0395,enriched
GPR158,Temporal,0.119,0.646,1.8e-5,0.00527,enriched
MYO16,Temporal,0.0794,0.617,3.99e-6,0.00175,enriched
LURAP1L,Temporal,0.0783,0.616,4.47e-5,0.00925,enriched
PPP4R4,Temporal,0.1092,0.614,1.46e-4,0.0211,enriched
MECOM,Temporal,0.1456,0.602,2.53e-4,0.0325,enriched
COL1A2,Temporal,0.0336,0.601,4.32e-4,0.0485,enriched
PDE8A,Temporal,0.2459,0.594,3.21e-11,6.93e-8,enriched
LRP11,Temporal,0.2406,0.589,8.57e-7,4.62e-4,enriched
KIAA1211,Temporal,0.0426,0.573,2.97e-5,0.00705,enriched
TMEM123,Temporal,0.2063,0.554,7.56e-6,0.0028,enriched
PCDH18,Temporal,0.1567,0.546,7.25e-7,4.09e-4,enriched
GPR17,Temporal,0.0506,0.542,1.94e-4,0.0261,enriched
LGI1,Temporal,0.028,0.538,2.5e-4,0.0324,enriched
GALNT3,Temporal,0.0458,0.523,2.1e-5,0.00547,enriched
SELENOP1,Temporal,0.3796,0.513,1.61e-5,0.00482,enriched
SOGA3,Temporal,0.489,0.501,1.1e-6,5.48e-4,enriched
PLCH1,Temporal,0.3086,0.501,8.26e-10,1.15e-6,enriched
GNAO1,Temporal,0.1322,0.5,8.63e-5,0.0143,enriched
DPYSL3,Temporal,0.1374,0.497,6.2e-5,0.0116,enriched
EFNB2,Temporal,0.471,0.492,3.51e-4,0.041,enriched
HSPA2,Temporal,0.1061,0.489,5.2e-6,0.00213,enriched
TSPAN18,Temporal,0.1083,0.476,8.82e-7,4.65e-4,enriched
FHOD3,Temporal,0.2632,0.448,4.22e-5,0.00898,enriched
CACNA2D2,Temporal,0.2972,0.433,1.32e-5,0.0043,enriched
RGS17,Temporal,0.1914,0.425,1.9e-5,0.00537,enriched
FOXO6,Temporal,0.2791,0.419,2.21e-7,1.75e-4,enriched
OLIG2,Temporal,0.63,0.414,1e-4,0.016,enriched
EDNRB,Temporal,0.4619,0.41,1.97e-7,1.61e-4,enriched
LOC421419,Temporal,0.1096,0.402,5.82e-7,3.45e-4,enriched
ANKH,Temporal,0.1296,0.401,9.63e-5,0.0156,enriched
LOC101749175,Temporal,0.2269,0.39,3.17e-4,0.0379,enriched
USP44,Temporal,0.1945,0.382,2.64e-7,1.94e-4,enriched
DGKB,Temporal,0.2251,0.38,1.44e-5,0.00445,enriched
SYNE1,Temporal,0.5282,0.38,3e-7,2.09e-4,enriched
SDCBP,Temporal,0.1525,0.371,2.79e-5,0.00689,enriched
ARHGEF3,Temporal,0.309,0.366,6.23e-5,0.0116,enriched
AvBD3,Temporal,0.1478,0.366,3.7e-4,0.043,enriched
MGAT3,Temporal,0.0874,0.355,3.37e-4,0.0397,enriched
DNM3,Temporal,0.2551,0.353,5.55e-8,5.98e-5,enriched
SASH1,Temporal,1.3319,0.352,2.42e-7,1.85e-4,enriched
OPTC,Temporal,0.5481,0.342,2.05e-5,0.00541,enriched
WNT5B,Temporal,0.0599,0.341,4.19e-4,0.0475,enriched
C5H14orf37,Temporal,0.1977,0.326,6.42e-5,0.0119,enriched
UNC13C,Temporal,0.4367,0.324,4.7e-5,0.00957,enriched
ZIC2,Temporal,0.6951,0.323,9.47e-6,0.0033,enriched
MBOAT1,Temporal,0.6401,0.322,1.14e-4,0.0175,enriched
SLC35F1,Temporal,0.7164,0.319,4.57e-7,2.78e-4,enriched
NSG1,Temporal,0.4168,0.315,9.7e-7,5e-4,enriched
BAG2,Temporal,0.1186,0.314,1.56e-4,0.0223,enriched
ATP8A1,Temporal,0.3523,0.314,7.29e-5,0.0131,enriched
SPATS2L,Temporal,0.3913,0.305,2.18e-6,0.00103,enriched
RELL1,Temporal,0.1443,0.302,2.93e-5,0.00704,enriched
FAM184A,Temporal,0.1955,0.301,1.91e-5,0.00537,enriched
GRID1,Temporal,0.8961,0.298,5.12e-5,0.00995,enriched
PTPRU,Temporal,0.2035,0.294,1.58e-5,0.00481,enriched
MICAL3,Temporal,0.5244,0.287,1.35e-8,1.6e-5,enriched
ADGRB3,Temporal,2.1397,0.273,1e-4,0.016,enriched
DYRK2,Temporal,0.2461,0.271,1.24e-4,0.0185,enriched
MDM1,Temporal,0.3704,0.261,4.35e-4,0.0486,enriched
AGRN,Temporal,0.2315,0.256,4.44e-4,0.0494,enriched
FAR2,Temporal,0.3366,0.246,7.73e-5,0.0134,enriched
BIRC2,Temporal,0.2753,0.236,1.67e-4,0.0233,enriched
TNS1,Temporal,0.5136,0.228,2.76e-4,0.0343,enriched
NFIA,Temporal,1.0828,0.221,3.14e-4,0.0377,enriched
LOC112533358,Temporal,0.6021,0.219,1.11e-6,5.48e-4,enriched
SACS,Temporal,0.3455,0.217,4.02e-4,0.046,enriched
GPHN,Temporal,0.6802,0.216,1.04e-4,0.0163,enriched
KANSL1L,Temporal,0.2417,0.212,5.11e-5,0.00995,enriched
GALNT2,Temporal,0.3582,0.208,4.15e-4,0.0473,enriched
YES1,Temporal,0.7225,0.201,1.61e-4,0.0227,enriched
PAX6,Temporal,1.7352,0.185,2.7e-7,1.94e-4,enriched
SPON1,Temporal,1.5653,0.182,2.03e-5,0.00541,enriched
FOXN3,Temporal,0.8248,0.177,7.88e-5,0.0134,enriched
SESTD1,Temporal,0.4061,0.173,9.24e-5,0.0151,enriched
ITPKA,Temporal,0.4114,0.169,1.61e-4,0.0227,enriched
FOXP2,Temporal,1.2755,0.164,3.59e-5,0.00802,enriched
SFT2D1,Temporal,0.6369,0.158,4.49e-5,0.00925,enriched
CAMK2D,Temporal,0.5582,0.152,9.14e-6,0.00323,enriched
AKAP12,Temporal,2.1661,0.139,3.74e-4,0.0433,enriched
RDX,Temporal,1.4553,0.127,7.04e-5,0.0127,enriched
CCND1,Temporal,2.0619,-0.122,2.55e-4,0.0325,de-enriched
GRB10,Temporal,1.4194,-0.139,5.6e-5,0.0108,de-enriched
HES1,Temporal,1.4215,-0.161,2.62e-4,0.0329,de-enriched
SHROOM3,Temporal,0.8935,-0.166,1.42e-5,0.00443,de-enriched
BOD1,Temporal,0.6061,-0.167,8.42e-5,0.0141,de-enriched
CTNNB1,Temporal,0.7156,-0.184,6.11e-6,0.0023,de-enriched
PALD1,Temporal,0.8878,-0.185,5.79e-6,0.00224,de-enriched
LRP6,Temporal,0.5395,-0.193,8.46e-6,0.00304,de-enriched
ETV5,Temporal,0.4192,-0.206,7.4e-5,0.0131,de-enriched
RPS6KA3,Temporal,0.6052,-0.209,4.22e-5,0.00898,de-enriched
FIGNL2,Temporal,0.4105,-0.214,3.64e-5,0.00802,de-enriched
KSR1,Temporal,0.4089,-0.221,2.84e-4,0.035,de-enriched
CTNNBIP1,Temporal,0.5561,-0.226,8.33e-5,0.014,de-enriched
COTL1,Temporal,0.8338,-0.232,1.71e-4,0.0236,de-enriched
NLGN1,Temporal,1.0817,-0.235,1.9e-8,2.14e-5,de-enriched
ITGB5,Temporal,0.5409,-0.243,1.46e-4,0.0211,de-enriched
EPHA4,Temporal,0.9698,-0.245,4.88e-5,0.00973,de-enriched
REST,Temporal,0.4399,-0.247,1.2e-5,0.00397,de-enriched
TENM3,Temporal,1.8829,-0.249,7.52e-5,0.0132,de-enriched
TMSB15B,Temporal,1.8021,-0.255,2.59e-4,0.0328,de-enriched
MAB21L1,Temporal,1.075,-0.256,1.12e-5,0.00375,de-enriched
SCRN1,Temporal,0.8026,-0.262,4.26e-5,0.00898,de-enriched
FAM171B,Temporal,0.7727,-0.262,1.78e-5,0.00527,de-enriched
PAWR,Temporal,0.4883,-0.268,5.96e-5,0.0114,de-enriched
SDK2,Temporal,0.2742,-0.274,2.92e-4,0.0357,de-enriched
MAF,Temporal,0.8087,-0.28,3e-4,0.0365,de-enriched
HMGA2,Temporal,0.6855,-0.312,7.79e-5,0.0134,de-enriched
FAM124A,Temporal,0.4668,-0.318,1.23e-4,0.0185,de-enriched
NEK6,Temporal,0.5481,-0.341,3.5e-7,2.31e-4,de-enriched
EPHB2,Temporal,0.7948,-0.345,3.28e-4,0.0391,de-enriched
ASB7,Temporal,0.249,-0.379,1.58e-4,0.0224,de-enriched
TPRG1L,Temporal,0.3153,-0.379,2.88e-4,0.0353,de-enriched
LOC112532756,Temporal,0.1872,-0.383,2.58e-5,0.00652,de-enriched
ARL4C,Temporal,1.1053,-0.385,1.86e-5,0.00537,de-enriched
PAK1,Temporal,0.4101,-0.401,2.05e-5,0.00541,de-enriched
EFCC1,Temporal,0.546,-0.409,5.38e-6,0.00216,de-enriched
PDZRN3,Temporal,0.343,-0.411,1.09e-4,0.0169,de-enriched
TP53I11,Temporal,0.6225,-0.416,1.42e-5,0.00443,de-enriched
IGSF21,Temporal,0.3564,-0.419,7.72e-6,0.00281,de-enriched
EFNA2,Temporal,0.1137,-0.42,2.61e-4,0.0329,de-enriched
FKBP14,Temporal,0.2277,-0.421,1.2e-4,0.0181,de-enriched
CLMP,Temporal,0.2823,-0.426,5.85e-6,0.00224,de-enriched
LOC101750575,Temporal,0.1809,-0.439,4.31e-4,0.0485,de-enriched
VWC2,Temporal,0.1528,-0.442,2.42e-5,0.00618,de-enriched
ADAMTS7,Temporal,0.1904,-0.473,1.68e-7,1.42e-4,de-enriched
SH3RF3,Temporal,0.524,-0.496,2.65e-4,0.0331,de-enriched
RSPO2,Temporal,0.4071,-0.535,8.09e-5,0.0137,de-enriched
AOX1,Temporal,0.1174,-0.55,2.37e-5,0.00611,de-enriched
CDK14,Temporal,0.4331,-0.563,3.08e-5,0.00716,de-enriched
LOC112531862,Temporal,0.2033,-0.62,1.95e-5,0.00537,de-enriched
ANKFN1L,Temporal,0.2205,-0.666,9.87e-5,0.0159,de-enriched
CRYAB,Temporal,0.3455,-0.685,3.49e-5,0.00802,de-enriched
MYLK,Temporal,0.0946,-0.704,2.37e-4,0.031,de-enriched
RMDN2,Temporal,0.0875,-0.741,2.73e-5,0.00681,de-enriched
ZBTB32,Temporal,0.0697,-0.77,2.33e-4,0.0309,de-enriched
ZIC4,Temporal,0.0528,-0.852,7.86e-5,0.0134,de-enriched
RASSF7,Temporal,0.1186,-0.925,1.41e-5,0.00443,de-enriched
BMPR1B,Temporal,0.6148,-0.971,1.89e-4,0.0257,de-enriched
SHISA2,Temporal,0.4974,-1.002,1.37e-6,6.62e-4,de-enriched
AOAH,Temporal,0.0444,-1.071,6.02e-5,0.0114,de-enriched
LOC107052892,Temporal,0.0386,-1.254,2.55e-4,0.0325,de-enriched
FGF8,Temporal,0.225,-1.317,2.25e-6,0.00105,de-enriched
LOC107052893,Temporal,0.2198,-1.413,3.2e-7,2.17e-4,de-enriched
LOC107054051,Temporal,0.0646,-1.611,8.08e-7,4.45e-4,de-enriched
PAX2,Temporal,0.2184,-1.662,3.55e-12,1.05e-8,de-enriched
HMX1,Temporal,0.7218,-1.696,8.5e-17,3.36e-13,de-enriched
SOHO-1,Temporal,0.4396,-1.789,6.0700000000000005e-22,4.3e-18,de-enriched
LOC422872,Temporal,0.2095,-1.91,1.01e-10,1.85e-7,de-enriched
CYP1B1,Temporal,0.7803,-2.524,1.1e-11,2.6e-8,de-enriched
LOC423301,Temporal,0.0271,-4.158,1.58e-7,1.42e-4,de-enriched
FOXG1,Temporal,0.0955,-4.537,2.22e-10,3.51e-7,de-enriched
ARC,Nasal,2e-4,4.773,7.16e-4,0.0285,enriched
FOXG1,Nasal,0.0955,2.522,2.54e-22,2.01e-18,enriched
LOC423301,Nasal,0.0271,2.274,5.1800000000000006e-21,2.46e-17,enriched
CPZ,Nasal,8e-4,2.2,0.00159,0.047,enriched
AKR1D1,Nasal,0.0068,1.942,6.36e-7,2.8e-4,enriched
CYP26C1,Nasal,0.0074,1.755,6.24e-6,0.0012,enriched
FAM129B,Nasal,0.0019,1.561,2.47e-4,0.0142,enriched
LOC107054107,Nasal,0.0061,1.555,3.27e-6,7.81e-4,enriched
LOC107057089,Nasal,0.0024,1.274,8.45e-4,0.0314,enriched
CNMD,Nasal,0.0481,1.265,1.35e-9,1.78e-6,enriched
