gene,region,average_expression,log2FC,pval,adj_pval,direction
PCDH9,Ventral,0.2544,1.133,4.26e-8,8.41e-5,enriched
ZIC1,Ventral,0.1658,1.115,1.19e-6,0.00151,enriched
RELN,Ventral,0.2411,1.107,3.35e-7,4.97e-4,enriched
CDON,Ventral,0.2097,1.082,1.01e-6,0.00138,enriched
FGF19,Ventral,0.2353,1.061,1.65e-6,0.00196,enriched
PTN,Ventral,0.256,0.957,1.45e-6,0.00178,enriched
NR2F1,Ventral,0.5763,0.94,1.36e-5,0.0115,enriched
GJA1,Ventral,0.2216,0.891,6.95e-6,0.00668,enriched
NR2F1-AS1,Ventral,0.2046,0.882,1.81e-5,0.014,enriched
CCND2,Ventral,0.2591,0.748,4.05e-5,0.0262,enriched
GPC6,Ventral,0.4114,0.741,3.18e-5,0.0212,enriched
EFNA5,Ventral,0.6231,0.657,1.9e-5,0.0143,enriched
DAPL1,Ventral,1.355,0.559,8.32e-6,0.00739,enriched
TMSB4X,Ventral,2.4547,0.513,2.02e-5,0.0149,enriched
COL1A1,Ventral,0.568,-1.268,2.72e-6,0.00303,de-enriched
BAMBI,Ventral,0.4005,-1.345,4.15e-6,0.0043,de-enriched
TBX2,Ventral,0.3682,-1.786,1.91e-9,4.85e-6,de-enriched
EFNB1,Ventral,0.093,-2.504,8.12e-6,0.00739,de-enriched
EFNB2,Ventral,0.277,-2.855,7.67e-10,2.27e-6,de-enriched
TBX5,Ventral,0.0454,-3.628,2.43e-5,0.0173,de-enriched
TBX3,Ventral,0.0415,-4.186,1.45e-5,0.0118,de-enriched
ALDH1A1,Ventral,0.2897,-5.05,1.39e-14,1.24e-10,de-enriched
MT1E,Ventral,0.0261,-5.375,5.21e-5,0.0325,de-enriched
APOC3,Ventral,9e-4,-7.143,1.21e-8,2.7e-5,de-enriched
MT1H,Ventral,0.0338,-7.7,7.15e-12,4.24e-8,de-enriched
AFP,Ventral,0.0014,-8.027,3.12e-11,1.39e-7,de-enriched
MT1G,Ventral,0.0314,-8.067,2.23e-11,1.13e-7,de-enriched
APOA2,Ventral,0.0028,-8.856,4.26e-16,7.58e-12,de-enriched
APOB,Ventral,6e-4,-10,4.24e-6,0.0043,de-enriched
AMBP,Ventral,0.0017,-10,5.22e-10,1.69e-6,de-enriched
APOH,Ventral,9e-4,-10,1.15e-6,0.00151,de-enriched
SERPINA1,Ventral,0.003,-10,6.43e-16,7.62e-12,de-enriched
MT1M,Ventral,0.0053,-10,2.15e-6,0.00247,de-enriched
FGB,Ventral,2e-4,-10,3.13e-7,4.91e-4,de-enriched
LGALS2,DVcentral,0,10,1.89e-4,0.0455,enriched
MT1B,DVcentral,1e-4,10,2.35e-5,0.0131,enriched
FGB,DVcentral,2e-4,8.995,5.1e-14,3.63e-10,enriched
APOB,DVcentral,6e-4,8.536,1.07e-6,0.00136,enriched
SERPINA6,DVcentral,4e-4,7.811,2.5e-10,8.08e-7,enriched
AFP,DVcentral,0.0014,6.608,1.38e-17,2.46e-13,enriched
APOA2,DVcentral,0.0028,5.832,2.62e-20,9.32e-16,enriched
UCA1,DVcentral,0.0094,3.597,5.65e-5,0.0221,enriched
ICAM4,DVcentral,0.0075,2.92,1.58e-4,0.0421,enriched
HBA1,DVcentral,0.4787,1.851,1.35e-4,0.0371,enriched
HBM,DVcentral,0.0291,1.627,1.05e-4,0.0306,enriched
WNT6,DVcentral,0.0205,1.388,1.85e-5,0.0117,enriched
ALX1,DVcentral,0.0305,1.076,5.04e-5,0.0211,enriched
S100A11,DVcentral,0.2705,1.067,1.7e-4,0.0435,enriched
CAPG,DVcentral,0.0431,1.022,1.7e-4,0.0435,enriched
SULT1E1,DVcentral,0.0787,0.91,1.89e-4,0.0455,enriched
IGF2.1,DVcentral,0.0408,0.837,8.98e-5,0.0275,enriched
TWIST2,DVcentral,0.0437,0.785,2.2e-5,0.0129,enriched
RPS27L,DVcentral,0.6035,0.773,1.51e-4,0.0408,enriched
TWIST1,DVcentral,0.1023,0.686,1.03e-4,0.0306,enriched
RUNX1T1,DVcentral,0.0746,0.66,1.78e-4,0.0446,enriched
PLAC9,DVcentral,0.1533,0.623,2.06e-4,0.0481,enriched
DLEU7,DVcentral,0.0785,0.618,7.19e-5,0.0256,enriched
FCGRT,DVcentral,0.1047,0.607,1.85e-4,0.0453,enriched
DCN,DVcentral,0.3682,0.549,1.69e-4,0.0435,enriched
TPM1,DVcentral,0.3923,0.521,1.82e-6,0.00209,enriched
IL11RA,DVcentral,0.1165,0.451,1.97e-4,0.0464,enriched
SERPINF1,DVcentral,0.0984,0.416,6.88e-5,0.025,enriched
BCAM,DVcentral,0.1504,0.382,7.5e-5,0.0257,enriched
COCH,DVcentral,0.174,0.349,1.68e-4,0.0435,enriched
ID2,DVcentral,0.588,-0.278,1.92e-4,0.0455,de-enriched
SSBP4,DVcentral,0.4776,-0.297,1.8e-4,0.0447,de-enriched
LMAN1,DVcentral,0.7279,-0.311,4.52e-5,0.0209,de-enriched
ENO1,DVcentral,1.2174,-0.313,3.2e-5,0.0159,de-enriched
TPBG,DVcentral,0.1615,-0.324,7.91e-5,0.0257,de-enriched
COL11A1,DVcentral,0.4562,-0.327,7.61e-5,0.0257,de-enriched
IRF2BPL,DVcentral,0.1715,-0.33,7.99e-5,0.0257,de-enriched
PALLD,DVcentral,0.4112,-0.336,1.1e-4,0.0312,de-enriched
ID3,DVcentral,0.9788,-0.359,8.43e-5,0.0264,de-enriched
CXADR,DVcentral,0.3309,-0.361,7.16e-5,0.0256,de-enriched
PPA1,DVcentral,0.7915,-0.364,1.04e-5,0.00767,de-enriched
ISYNA1,DVcentral,0.5512,-0.373,1.33e-4,0.037,de-enriched
CRIP2,DVcentral,0.2038,-0.397,8.05e-5,0.0257,de-enriched
NLRP1,DVcentral,0.2743,-0.417,4.17e-5,0.0198,de-enriched
URI1,DVcentral,0.5493,-0.419,7.74e-5,0.0257,de-enriched
TCF12,DVcentral,0.5791,-0.423,9.22e-5,0.028,de-enriched
ID1,DVcentral,0.7592,-0.436,4.74e-6,0.00444,de-enriched
EGFR,DVcentral,0.2706,-0.44,5.35e-5,0.0216,de-enriched
CCDC34,DVcentral,0.5926,-0.444,4.43e-5,0.0207,de-enriched
KLHDC8B,DVcentral,0.3086,-0.446,1.13e-5,0.00803,de-enriched
PCDH7,DVcentral,0.8646,-0.456,3.04e-5,0.0159,de-enriched
PSAT1,DVcentral,0.1705,-0.46,5.9e-5,0.0223,de-enriched
ZNF506,DVcentral,0.0983,-0.461,4.74e-5,0.0211,de-enriched
MUM1,DVcentral,0.5055,-0.461,1.7e-4,0.0435,de-enriched
DCLK1,DVcentral,0.2556,-0.464,5.87e-5,0.0223,de-enriched
DCBLD2,DVcentral,0.6494,-0.469,5.62e-5,0.0221,de-enriched
CCND1,DVcentral,1.3966,-0.475,2.39e-5,0.0131,de-enriched
KHDRBS3,DVcentral,0.1607,-0.482,1.98e-5,0.0119,de-enriched
STRA6,DVcentral,0.1435,-0.484,7.68e-5,0.0257,de-enriched
COLEC12,DVcentral,0.2562,-0.485,1.06e-4,0.0306,de-enriched
PDLIM5,DVcentral,0.2885,-0.486,1.62e-4,0.0429,de-enriched
PLK4,DVcentral,0.0909,-0.491,7.28e-5,0.0256,de-enriched
LEF1,DVcentral,0.143,-0.496,1.27e-4,0.0355,de-enriched
SLF1,DVcentral,0.6022,-0.499,8.08e-5,0.0257,de-enriched
FIGN,DVcentral,0.5197,-0.5,1.44e-4,0.0391,de-enriched
PLPPR3,DVcentral,0.1977,-0.524,1.87e-4,0.0455,de-enriched
PCDH9,DVcentral,0.2544,-0.538,1.24e-4,0.035,de-enriched
SEMA6A,DVcentral,0.29,-0.55,5.34e-5,0.0216,de-enriched
STRN,DVcentral,0.1015,-0.554,8.02e-6,0.00634,de-enriched
VSX2,DVcentral,0.4666,-0.556,1.72e-4,0.0435,de-enriched
MAN1A1,DVcentral,0.3108,-0.561,1.97e-6,0.00219,de-enriched
CTXN1,DVcentral,0.1651,-0.565,3.22e-5,0.0159,de-enriched
COL9A1,DVcentral,0.463,-0.566,4.97e-5,0.0211,de-enriched
TGFB2,DVcentral,0.1533,-0.585,8.58e-5,0.0265,de-enriched
FEZF2,DVcentral,0.3304,-0.596,1.83e-4,0.0453,de-enriched
EFNA5,DVcentral,0.6231,-0.597,6.31e-7,8.97e-4,de-enriched
DSEL,DVcentral,0.1695,-0.602,7.87e-6,0.00634,de-enriched
GPR162,DVcentral,0.0551,-0.613,1.36e-5,0.00911,de-enriched
COL2A1,DVcentral,0.5451,-0.617,4.62e-5,0.0211,de-enriched
CNTNAP3B,DVcentral,0.1139,-0.625,4.99e-5,0.0211,de-enriched
LHX2,DVcentral,0.4609,-0.626,1.71e-4,0.0435,de-enriched
RAX,DVcentral,0.8685,-0.634,1.02e-4,0.0304,de-enriched
MEIS1-AS2,DVcentral,0.0377,-0.635,3.34e-5,0.0163,de-enriched
ERICH5,DVcentral,0.2131,-0.64,5.6e-5,0.0221,de-enriched
MAB21L2,DVcentral,0.1306,-0.667,4.17e-6,0.00401,de-enriched
DAPL1,DVcentral,1.355,-0.671,2.07e-5,0.0123,de-enriched
GRIA4,DVcentral,0.4253,-0.677,1.92e-5,0.0118,de-enriched
LRRC10B,DVcentral,0.0474,-0.687,1.1e-4,0.0312,de-enriched
ADAMTS9,DVcentral,0.0291,-0.724,4.84e-5,0.0211,de-enriched
SFRP2,DVcentral,1.7425,-0.724,4.68e-7,7.24e-4,de-enriched
RDH10,DVcentral,0.2168,-0.731,6.19e-6,0.00554,de-enriched
LRRC17,DVcentral,0.1355,-0.736,3.2e-5,0.0159,de-enriched
SYNPR,DVcentral,0.1918,-0.756,1.36e-5,0.00911,de-enriched
CPAMD8,DVcentral,0.2783,-0.759,5.87e-5,0.0223,de-enriched
NECAB2,DVcentral,0.1263,-0.78,7.57e-5,0.0257,de-enriched
NR2F1,DVcentral,0.5763,-0.785,6.48e-6,0.00562,de-enriched
EFHD2,DVcentral,0.1128,-0.792,3.74e-7,6.47e-4,de-enriched
AXIN2,DVcentral,0.0217,-0.796,2.15e-4,0.05,de-enriched
GJA1,DVcentral,0.2216,-0.819,1.25e-9,3.7e-6,de-enriched
AC006450.3,DVcentral,0.039,-0.83,6.34e-5,0.0236,de-enriched
RELN,DVcentral,0.2411,-0.833,7.48e-5,0.0257,de-enriched
SLC7A8,DVcentral,0.0349,-0.835,6.62e-5,0.0243,de-enriched
PANK4,DVcentral,0.0424,-0.846,1.06e-5,0.00767,de-enriched
SAMD11,DVcentral,0.0931,-0.867,3.74e-6,0.0038,de-enriched
LRRN2,DVcentral,0.027,-0.868,1.92e-4,0.0455,de-enriched
CDON,DVcentral,0.2097,-0.871,1.7e-7,3.56e-4,de-enriched
CDH6,DVcentral,0.2739,-0.872,2.5e-6,0.00269,de-enriched
NR2F2,DVcentral,0.2395,-0.896,8.22e-11,2.92e-7,de-enriched
CNTNAP3,DVcentral,0.0346,-0.899,3.74e-5,0.018,de-enriched
SYT7,DVcentral,0.107,-0.9,1.37e-4,0.0374,de-enriched
NR2F2-AS1,DVcentral,0.0425,-0.92,1.06e-4,0.0306,de-enriched
CACNB2,DVcentral,0.0885,-0.923,9.44e-5,0.0284,de-enriched
LHX9,DVcentral,0.1799,-0.948,2.29e-5,0.0129,de-enriched
BHLHE22,DVcentral,0.0677,-0.956,5.02e-5,0.0211,de-enriched
OTX1,DVcentral,0.0325,-0.976,4.69e-5,0.0211,de-enriched
SYT17,DVcentral,0.0509,-0.983,1.16e-6,0.00143,de-enriched
COL9A2,DVcentral,0.1281,-1,3.92e-7,6.47e-4,de-enriched
VWC2,DVcentral,0.0318,-1.014,2.52e-5,0.0136,de-enriched
ZIC1,DVcentral,0.1658,-1.019,3.86e-6,0.00381,de-enriched
PCSK1N,DVcentral,0.2109,-1.023,4e-7,6.47e-4,de-enriched
LRRC3B,DVcentral,0.031,-1.032,1.37e-7,3.04e-4,de-enriched
HMX1,DVcentral,0.5211,-1.032,1.32e-7,3.04e-4,de-enriched
GDF6,DVcentral,0.0363,-1.057,1.51e-5,0.00992,de-enriched
ADAMTS9-AS1,DVcentral,0.0223,-1.06,1.92e-5,0.0118,de-enriched
FAM183A,DVcentral,0.0329,-1.095,6.23e-6,0.00554,de-enriched
C11orf88,DVcentral,0.0256,-1.099,8.47e-5,0.0264,de-enriched
RASSF9,DVcentral,0.0266,-1.119,6.92e-6,0.00583,de-enriched
FGF19,DVcentral,0.2353,-1.12,3.13e-5,0.0159,de-enriched
APCDD1,DVcentral,0.0953,-1.123,2.25e-7,4.45e-4,de-enriched
OLFM3,DVcentral,0.0604,-1.165,7.62e-8,2.04e-4,de-enriched
MECOM,DVcentral,0.0532,-1.165,6.38e-5,0.0236,de-enriched
LGR6,DVcentral,0.0392,-1.185,1.63e-5,0.0105,de-enriched
CLDN1,DVcentral,0.0801,-1.188,9.37e-7,0.00128,de-enriched
UNC5B,DVcentral,0.0158,-1.232,9.81e-6,0.00758,de-enriched
PRELP,DVcentral,0.0285,-1.313,2.28e-5,0.0129,de-enriched
AC092958.1,DVcentral,0.0203,-1.379,3.5e-7,6.47e-4,de-enriched
TBX2,DVcentral,0.3682,-1.383,5.24e-7,7.76e-4,de-enriched
SLC16A6,DVcentral,0.0183,-1.407,3.18e-6,0.00333,de-enriched
CLEC19A,DVcentral,0.043,-1.436,8.03e-8,2.04e-4,de-enriched
CRTAC1,DVcentral,0.0875,-1.496,1.02e-5,0.00767,de-enriched
CALB1,DVcentral,0.0764,-1.509,1.19e-5,0.00833,de-enriched
PDE11A,DVcentral,0.0206,-1.643,7.04e-6,0.00583,de-enriched
AC209005.1,DVcentral,0.0134,-1.67,1.82e-6,0.00209,de-enriched
EFNB1,DVcentral,0.093,-1.836,1.08e-11,4.82e-8,de-enriched
MSX2,DVcentral,0.0075,-2.107,3.13e-5,0.0159,de-enriched
VAX1,DVcentral,0.0087,-2.183,5.14e-5,0.0212,de-enriched
EFNB2,DVcentral,0.277,-2.34,4.74e-13,2.81e-9,de-enriched
TBX5-AS1,DVcentral,0.0105,-2.727,8.05e-5,0.0257,de-enriched
ALDH1A3,DVcentral,0.0857,-2.895,1.57e-12,7.96e-9,de-enriched
TBX3,DVcentral,0.0415,-2.912,7.6e-11,2.92e-7,de-enriched
TBX5,DVcentral,0.0454,-3.252,2.48e-14,2.2e-10,de-enriched
KRT3,DVcentral,0.0062,-3.417,9.97e-7,0.00131,de-enriched
ALDH1A1,DVcentral,0.2897,-4.878,3.54e-16,4.2e-12,de-enriched
PLA2G2A,NTcentral,0.0032,10,3.49e-7,4.97e-4,enriched
APOA2,NTcentral,0.0028,10,6.53e-21,2.32e-16,enriched
MMP10,NTcentral,0.0023,10,5.73e-5,0.0154,enriched
GRB7,NTcentral,0.0022,10,1.41e-4,0.027,enriched
KRT6A,NTcentral,0.0014,10,8.4e-7,8.79e-4,enriched
AC130456.3,NTcentral,0.0075,10,8.19e-8,1.46e-4,enriched
CEACAM6,NTcentral,0.0033,10,2.05e-6,0.00149,enriched
AP001207.3,NTcentral,0.0026,10,1.17e-6,9.23e-4,enriched
FGB,NTcentral,2e-4,10,1.75e-12,2.08e-8,enriched
MT1B,NTcentral,1e-4,10,3.16e-4,0.0454,enriched
AFP,NTcentral,0.0014,9.776,6.79e-17,1.21e-12,enriched
SERPINA6,NTcentral,4e-4,6.972,1.24e-8,2.94e-5,enriched
SPRR3,NTcentral,0.0055,6.602,6.56e-8,1.23e-4,enriched
IGFL2,NTcentral,0.0037,5.38,1.68e-4,0.0304,enriched
KRT4,NTcentral,0.0126,4.665,1.08e-4,0.0236,enriched
S100A8,NTcentral,0.0128,4.411,1.21e-5,0.00524,enriched
S100A9,NTcentral,0.0231,4.141,5.35e-6,0.00317,enriched
TUBA4A,NTcentral,0.0418,3.742,1.03e-6,8.89e-4,enriched
KRT13,NTcentral,0.0266,3.59,1.18e-4,0.0247,enriched
FAM3D,NTcentral,0.0036,3.524,3.18e-4,0.0454,enriched
HBE1,NTcentral,0.1374,3.256,3.01e-4,0.0444,enriched
HEMGN,NTcentral,0.0097,3.233,1.37e-4,0.027,enriched
CLDN7,NTcentral,0.0109,3.224,5.17e-5,0.0146,enriched
NECTIN4,NTcentral,0.0081,3.161,9.69e-5,0.0222,enriched
SERPINB2,NTcentral,0.0053,3.139,2.67e-4,0.0417,enriched
C19orf33,NTcentral,0.0164,2.945,2.97e-6,0.00203,enriched
HBG1,NTcentral,0.1105,2.831,1.14e-5,0.005,enriched
SFN,NTcentral,0.0301,2.777,1.43e-5,0.00592,enriched
BARX2,NTcentral,0.008,2.758,2.07e-5,0.0076,enriched
CLIC3,NTcentral,0.0135,2.745,1.39e-4,0.027,enriched
CDKN1A,NTcentral,0.0673,2.743,7.21e-5,0.0181,enriched
ELF3,NTcentral,0.024,2.732,6.88e-6,0.00371,enriched
MT1E,NTcentral,0.0261,2.717,2.54e-4,0.0408,enriched
KRT12,NTcentral,0.0228,2.665,2.66e-4,0.0417,enriched
KRT17,NTcentral,0.0702,2.615,7.55e-6,0.00383,enriched
S100A14,NTcentral,0.0213,2.598,8.67e-6,0.00428,enriched
KRT19,NTcentral,0.1086,2.597,1.21e-8,2.94e-5,enriched
AHSP,NTcentral,0.0226,2.559,7.92e-7,8.53e-4,enriched
HBA1,NTcentral,0.4787,2.552,9.26e-7,8.87e-4,enriched
AQP3,NTcentral,0.0222,2.492,5.63e-5,0.0154,enriched
ANXA1,NTcentral,0.082,2.476,2.37e-8,5.04e-5,enriched
S100A2,NTcentral,0.0168,2.458,1.91e-4,0.0339,enriched
HBB,NTcentral,0.1731,2.36,1.84e-7,2.73e-4,enriched
HBA2,NTcentral,0.6272,2.359,4e-6,0.00249,enriched
AC104389.4,NTcentral,0.0148,2.357,3.06e-4,0.0447,enriched
CLDN4,NTcentral,0.0415,2.265,4.1e-5,0.0123,enriched
KRT5,NTcentral,0.0624,2.25,1.04e-4,0.0228,enriched
RAB25,NTcentral,0.0168,2.247,8.13e-5,0.0191,enriched
HBG2,NTcentral,0.679,2.185,1e-6,8.89e-4,enriched
CASP4,NTcentral,0.0091,2.16,1.15e-4,0.0244,enriched
ERBB3,NTcentral,0.0124,2.138,8.06e-5,0.0191,enriched
WNT6,NTcentral,0.0205,2.115,6.15e-6,0.00354,enriched
LGALS3,NTcentral,0.0672,2.023,1.02e-5,0.00458,enriched
LYPD3,NTcentral,0.0218,1.947,1e-4,0.0225,enriched
TMEM173,NTcentral,0.0117,1.928,3.35e-4,0.0469,enriched
CLDN6,NTcentral,0.0077,1.897,2.02e-4,0.0351,enriched
APOD,NTcentral,0.0129,1.859,3.81e-5,0.0118,enriched
HBM,NTcentral,0.0291,1.813,3.53e-4,0.0483,enriched
PERP,NTcentral,0.0676,1.789,3.63e-6,0.00234,enriched
S100A11,NTcentral,0.2705,1.781,2.34e-11,2.08e-7,enriched
CDH1,NTcentral,0.0107,1.778,2.18e-4,0.037,enriched
TRIM29,NTcentral,0.0169,1.731,2.49e-4,0.0406,enriched
TRIM38,NTcentral,0.0102,1.633,3.43e-4,0.0474,enriched
TNNT3,NTcentral,0.031,1.596,7.6e-5,0.0187,enriched
CAV1,NTcentral,0.0289,1.595,2.24e-5,0.00789,enriched
EMP1,NTcentral,0.0343,1.571,3.59e-4,0.0485,enriched
BBC3,NTcentral,0.0426,1.533,1.35e-4,0.027,enriched
S100A6,NTcentral,0.4369,1.483,1.01e-6,8.89e-4,enriched
CAPG,NTcentral,0.0431,1.392,9.36e-6,0.00438,enriched
RGCC,NTcentral,0.0292,1.374,3.23e-4,0.0458,enriched
VAMP8,NTcentral,0.0349,1.364,2.66e-4,0.0417,enriched
RARG,NTcentral,0.0248,1.35,8.86e-5,0.0207,enriched
S100A10,NTcentral,0.2334,1.341,6.4e-9,1.9e-5,enriched
CYTL1,NTcentral,0.0251,1.333,3.16e-4,0.0454,enriched
IER3,NTcentral,0.0646,1.275,7.5e-6,0.00383,enriched
KRT18,NTcentral,0.0695,1.238,1.15e-4,0.0244,enriched
S100A4,NTcentral,0.2298,1.189,1.12e-5,0.00498,enriched
DLC1,NTcentral,0.0327,1.182,4.37e-5,0.0128,enriched
KRT8,NTcentral,0.095,1.177,1.1e-4,0.0238,enriched
MT2A,NTcentral,0.1326,1.156,7.74e-5,0.0187,enriched
DHRS3,NTcentral,0.0331,1.137,1.56e-4,0.0286,enriched
DPT,NTcentral,0.0199,1.123,1.4e-4,0.027,enriched
TWIST2,NTcentral,0.0437,1.088,6.36e-6,0.00354,enriched
GSN,NTcentral,0.0954,1.084,1.41e-7,2.18e-4,enriched
TXNIP,NTcentral,0.1139,1.081,7.36e-5,0.0183,enriched
TMEM119,NTcentral,0.0269,1.041,2.61e-4,0.0415,enriched
MT1X,NTcentral,0.106,1.038,2.48e-4,0.0406,enriched
ALX1,NTcentral,0.0305,1.018,2.93e-4,0.0435,enriched
FBLN5,NTcentral,0.047,0.992,1.24e-5,0.00533,enriched
PITX2,NTcentral,0.0507,0.979,2.15e-4,0.0368,enriched
MGP,NTcentral,0.2101,0.975,6.46e-5,0.0166,enriched
GADD45B,NTcentral,0.2158,0.973,1.78e-5,0.00694,enriched
BLVRB,NTcentral,0.1365,0.963,1.48e-4,0.028,enriched
OSR2,NTcentral,0.0747,0.939,2.28e-5,0.00789,enriched
PRRX1,NTcentral,0.0676,0.935,1.01e-5,0.00458,enriched
PLAC9,NTcentral,0.1533,0.932,1.34e-4,0.027,enriched
PRRX2,NTcentral,0.0393,0.93,1.6e-4,0.0293,enriched
CEBPD,NTcentral,0.1031,0.915,3.36e-4,0.0469,enriched
CAVIN1,NTcentral,0.039,0.915,7.7e-5,0.0187,enriched
MYL4,NTcentral,0.0418,0.907,6.15e-5,0.0161,enriched
TSPO,NTcentral,0.0718,0.87,1.95e-4,0.0345,enriched
EPCAM,NTcentral,0.0535,0.867,1.97e-4,0.0345,enriched
ETS2,NTcentral,0.0319,0.855,1e-4,0.0225,enriched
ZFP36,NTcentral,0.1232,0.853,8.97e-6,0.00434,enriched
ACTC1,NTcentral,0.1137,0.843,2e-4,0.0348,enriched
S100A16,NTcentral,0.0672,0.834,2.76e-4,0.0421,enriched
LGALS1,NTcentral,0.5286,0.832,1.28e-5,0.00536,enriched
LIMA1,NTcentral,0.0851,0.798,7.97e-5,0.019,enriched
SULF1,NTcentral,0.1109,0.781,1.63e-5,0.00645,enriched
DLK1,NTcentral,0.1257,0.759,5.85e-5,0.0154,enriched
ANXA2,NTcentral,0.5122,0.746,5.17e-7,6.39e-4,enriched
GMDS,NTcentral,0.1071,0.724,1.53e-4,0.0286,enriched
RPS27L,NTcentral,0.6035,0.722,1.11e-4,0.0238,enriched
PDLIM1,NTcentral,0.0788,0.709,2.91e-5,0.00957,enriched
POSTN,NTcentral,0.2035,0.686,1.03e-4,0.0228,enriched
COL1A1,NTcentral,0.568,0.68,6.27e-6,0.00354,enriched
CTHRC1,NTcentral,0.104,0.674,1.45e-4,0.0276,enriched
LUM,NTcentral,0.2382,0.668,1.51e-4,0.0284,enriched
PLS3,NTcentral,0.0684,0.648,7.1e-5,0.018,enriched
FCGRT,NTcentral,0.1047,0.614,1.02e-4,0.0226,enriched
NFKBIA,NTcentral,0.2363,0.607,1.14e-4,0.0243,enriched
COL3A1,NTcentral,0.4216,0.586,3.05e-4,0.0447,enriched
COL5A1,NTcentral,0.1345,0.584,3.32e-4,0.0466,enriched
GYPC,NTcentral,0.1351,0.561,3.23e-4,0.0458,enriched
DCN,NTcentral,0.3682,0.555,2.07e-4,0.0356,enriched
UBC,NTcentral,1.2389,0.505,6.35e-5,0.0165,enriched
TPM1,NTcentral,0.3923,0.502,2.14e-5,0.0077,enriched
SPATS2L,NTcentral,0.1306,0.486,3.47e-4,0.0478,enriched
RPL36AL,NTcentral,1.001,0.468,2.45e-4,0.0404,enriched
COL5A2,NTcentral,0.2326,0.461,2.3e-4,0.0385,enriched
FTH1,NTcentral,2.4929,0.457,3.16e-4,0.0454,enriched
EIF1,NTcentral,2.1489,0.377,3.6e-4,0.0485,enriched
JUNB,NTcentral,0.5333,0.371,3.53e-4,0.0483,enriched
MYL12A,NTcentral,0.6353,0.355,1.4e-4,0.027,enriched
FABP5,NTcentral,0.9139,0.308,2.04e-4,0.0353,enriched
MYL12B,NTcentral,0.7603,0.284,7.94e-5,0.019,enriched
PTMS,NTcentral,1.0178,-0.255,2.24e-4,0.0377,de-enriched
DDAH2,NTcentral,0.7589,-0.268,2.87e-4,0.0431,de-enriched
MARCKS,NTcentral,1.8573,-0.274,2.83e-4,0.0428,de-enriched
TNRC6B,NTcentral,0.746,-0.306,2.4e-4,0.04,de-enriched
RCN2,NTcentral,0.9021,-0.332,2.69e-4,0.0417,de-enriched
EGFR,NTcentral,0.2706,-0.333,3.69e-4,0.0495,de-enriched
ZHX1,NTcentral,0.1929,-0.349,2.86e-4,0.043,de-enriched
TSC22D1,NTcentral,0.9425,-0.365,2.21e-4,0.0374,de-enriched
DPYSL2,NTcentral,0.5063,-0.381,3.57e-4,0.0485,de-enriched
NLRP1,NTcentral,0.2743,-0.393,5.75e-5,0.0154,de-enriched
SOX11,NTcentral,0.7646,-0.398,3.42e-4,0.0474,de-enriched
IFT57,NTcentral,0.3374,-0.405,1.56e-4,0.0286,de-enriched
MRPL1,NTcentral,0.2057,-0.42,5.8e-5,0.0154,de-enriched
URI1,NTcentral,0.5493,-0.429,2.55e-4,0.0409,de-enriched
CCDC34,NTcentral,0.5926,-0.446,1.17e-4,0.0247,de-enriched
GULP1,NTcentral,0.4292,-0.45,9.92e-5,0.0225,de-enriched
CRIP2,NTcentral,0.2038,-0.45,3.08e-5,0.00995,de-enriched
MEGF8,NTcentral,0.0896,-0.459,2.72e-4,0.0418,de-enriched
ATP2A2,NTcentral,0.2087,-0.461,5.3e-5,0.0147,de-enriched
TPPP3,NTcentral,0.3225,-0.488,3.75e-5,0.0118,de-enriched
KLHDC8B,NTcentral,0.3086,-0.489,2.39e-5,0.00819,de-enriched
ARL4A,NTcentral,0.2329,-0.491,5.71e-5,0.0154,de-enriched
CNIH2,NTcentral,0.0751,-0.499,1.29e-4,0.0263,de-enriched
PCDH7,NTcentral,0.8646,-0.503,2.05e-5,0.00758,de-enriched
CXXC5,NTcentral,0.4636,-0.511,2.61e-4,0.0415,de-enriched
MSI2,NTcentral,1.3831,-0.516,2.77e-5,0.00924,de-enriched
MAGI3,NTcentral,0.354,-0.52,9.62e-5,0.0222,de-enriched
RUNDC1,NTcentral,0.0736,-0.524,1.37e-4,0.027,de-enriched
DCBLD2,NTcentral,0.6494,-0.528,2.89e-4,0.0432,de-enriched
FIGN,NTcentral,0.5197,-0.532,3.97e-5,0.0121,de-enriched
NRIP1,NTcentral,0.4148,-0.533,1.36e-4,0.027,de-enriched
PAX6,NTcentral,1.3676,-0.536,7.24e-5,0.0181,de-enriched
PLPPR3,NTcentral,0.1977,-0.538,2.27e-5,0.00789,de-enriched
HOMER2,NTcentral,0.3316,-0.557,1.26e-4,0.0259,de-enriched
DLL1,NTcentral,0.0801,-0.559,1.97e-4,0.0345,de-enriched
TRPM3,NTcentral,0.899,-0.566,4.24e-5,0.0126,de-enriched
COL13A1,NTcentral,0.1626,-0.566,3.08e-4,0.0447,de-enriched
NR2F1-AS1,NTcentral,0.2046,-0.568,2.7e-4,0.0417,de-enriched
DMD,NTcentral,0.1076,-0.568,2.14e-5,0.0077,de-enriched
DTNA,NTcentral,0.2004,-0.569,2.73e-4,0.0418,de-enriched
COLEC12,NTcentral,0.2562,-0.57,1.57e-5,0.00627,de-enriched
RAX,NTcentral,0.8685,-0.583,2.79e-4,0.0424,de-enriched
LHX2,NTcentral,0.4609,-0.59,1.68e-4,0.0304,de-enriched
