ATP5A1W
CHDB1
HINTW
HNRNPKL
LOC100857682
LOC100858742
LOC100859467
LOC100859602
LOC101750470
LOC101752211
LOC107049046
LOC107049174
LOC107049328
LOC107049459
LOC107049460
LOC107049482
LOC107050706
LOC107055425
LOC107055426
LOC107055427
LOC107055431
LOC107055433
LOC107055434
LOC107055438
LOC107055439
LOC107055446
LOC107055485
LOC107057342
LOC112530476
LOC112530477
LOC112530478
LOC112530479
LOC112530480
LOC112530481
LOC112530482
LOC112530483
LOC112530484
LOC112530485
LOC112530486
LOC112530487
LOC112530488
LOC112530490
LOC112530491
LOC112530492
LOC112530493
LOC112530494
LOC112530495
LOC112530496
LOC112530497
LOC112530498
LOC112530499
LOC112530500
LOC112530501
LOC112530502
LOC112530503
LOC112530504
LOC425347
LOC426220
LOC431003
MIER3L
MIR122-2
MIR7B
NIPBLL
RPTC15L
SMAD2W
SMAD7B
SPIN1W
ST8SIA3W
TERAL2
UBAP2
UBE2R2L
ZFRL1
