AAED1
ABCA1
ABHD17B
ACAA2
ACER2
ACO1
ACOT12
ACTL7A
ADAMTS12
ADAMTS19
ADAMTS6
ADAMTSL1
ADCY10L1
ADCY10L11
ADCY10L13
ADCY10L3
ADCY10L4
ADCY10L5
ADCY10L6
ADCY10L8
ADGRV1
AGGF1
AGTPBP1
AGXT2
AK3
AK6
AKAP2
ALDH1A1
ALDH7A1
ALDOB
ALPK2
AMACR
ANKDD1B
ANKRA2
ANKRD31
ANKRD34B
ANKRD55
ANXA1
AP3B1
AP3S1
APBA1
APC
APH1AL
APTX
AQP3
AQP7
ARHGEF28
ARHGEF39
ARID3C
ARL14EPL
ARL15
ARRDC3
ARSB
ARSK
ATG10
ATG12
ATP5A1Z
ATP5I
ATP6AP1L
ATP8B1
ATP8B4
AUH
AVD
AVDL
AVR2
B4GALT1
BDP1L
BHMT
BNC2
BRIX1
BTF3
C1QTNF3
C6
C7
C9orf84
C9orf85
CA9
CAAP1
CAMK4
CAPSL
CARNMT1
CARTPT
CAST
CBWD1
CCBE1
CCDC112
CCDC125
CCDC152Z
CCDC171
CCL19
CCL28
CCNH
CCNO
CD180
CD274
CD72
CD72AG
CD72AGL
CDC14B
CDC20B
CDC37L1
CDC42SE2
CDK7
CDKN2A
CDKN2B
CDO1
CELF4
CENPH
CENPK
CEP120
CEP78
CER1
CETN3
CFC1
CHD1Z
CHRNA6
CHRNA7L
CHRNB3
CHSY3
CKMT2
CKS2
CLEC5A
CLTA
CMYA5
CNTFR
CNTLN
CNTNAP4
COL4A3BP
COMMD10
CORO2A
COX7C
CPLX1
CPLX4
CREB3
CRHBP
CTIF
CTSV
CTXN3
CWC27
CZH18ORF25
CZH18ORF32
CZH5ORF30
CZH5ORF34
CZH5ORF42
CZH5ORF51
CZH5ORF63
CZH9orf24
CZH9ORF3
CZH9ORF40
CZH9orf64
CZH9orf72
DAB2
DAPK1
DCAF10
DCAF12
DCP2
DCTN3
DDX4
DENND4C
DEPDC1B
DGKQ
DHFR
DHX29
DIMT1
DIRAS2
DMGDH
DMRT1
DMRT2
DMRT3
DMXL1
DNAI1
DNAJA1
DNAJB5
DNAJC21
DNAJC25
DOCK8
DTWD2
DYM
EDIL3
EFNA5
EGFLAM
ELAVL2
ELL2
ELOVL7
EMB
ENC1
ENHO
EPB41L4A
EPG5
ERAP1
ERBIN
ERCC6L2
ERCC8
ERMP1
ESM1
F2R
F2RL1
F2RL2
FAM151B
FAM151BL
FAM169A
FAM172A
FAM174A
FAM189A2
FAM214B
FAM219A
FAM240A
FAM81B
FANCC
FANCG
FBN2
FBP1
FBP2
FBXL17
FBXO4
FCHO2
FECH
FEM1C
FER
FGF10
FKTN
FNTA
FOCAD
FOXB2
FOXD1
FOXE1
FREM1
FREM3
FRMD3
FRMPD1
FSD1L
FST
FUT10
FXN
FYB
GADD45G
GAK
GALT
GAS1
GBA2
GCNT1
GCNT4
GDA
GDNF
GFM2
GHR
GIN1
GKAP1
GLDC
GLIS3
GLRX
GNA14
GNAQ
GNE
GNG10
GOLM1
GOLPH3
GPBP1
GPX8
GRAMD3
GRHPR
GRIN3A
GRP
GTF2H2
GZMA
GZMK
HABP4
HACD4
HAPLN1
HAUS1
HAUS6
HCN1
HDHD2
HEATR8L1
HEATR8L4
HEATR8L5
HEATR8L6
HEMGN
HEXB
HINT1Z
HINT2Z
HMGCR
HMGCS1
HNRNPK
HOMER1
HOOK3
HRC8L
HSD17B3
HSD17B4
HSDL2
HSPB3
HTR1A
IDNK
IDUA
IER3IP1
IFA3L
IFNA3
IFNAL1
IFNAL2
IFNAL3
IFNAL4
IFNAL5
IFNAL6
IFNKL1
IFNW1
IFT74
IKBKAP
IL11RA
IL31RA
IL6ST
IL7R
INIP
IPO11
IQGAP2
ISCA1
ISL1
ISOC1
ITGA1
ITGA2
JAK2
JMY
KANK1
KATNAL2
KCMF1
KCNN2
KCNV2
KDM4C
KIAA0825
KIAA1024L
KIAA1161
KIAA1328
KIAA1683
KIAA1958
KIAA2026
KIF24
KIF27
KIF2A
KLF4
KLF9
LHFPL2
LIFR
LINGO2
LIPG
LIX1
LMAN1
LMBRD2
LMNB1
LNPEP
LOC100857191
LOC100857299
LOC100857403
LOC100857549
LOC100857745
LOC100858177
LOC100858506
LOC100858705
LOC100858919
LOC100858941
LOC100858953
LOC100859072
LOC100859284
LOC100859353
LOC100859551
LOC100859691
LOC101747649
LOC101747856
LOC101747883
LOC101747920
LOC101747989
LOC101748033
LOC101748035
LOC101748116
LOC101748165
LOC101748231
LOC101748261
LOC101748308
LOC101748371
LOC101748373
LOC101748432
LOC101748453
LOC101748473
LOC101748496
LOC101748497
LOC101748544
LOC101748547
LOC101748605
LOC101748608
LOC101748625
LOC101748659
LOC101748660
LOC101748661
LOC101748700
LOC101748716
LOC101748752
LOC101748809
LOC101748847
LOC101748870
LOC101748910
LOC101748927
LOC101749058
LOC101749092
LOC101749094
LOC101749363
LOC101749460
LOC101749463
LOC101749479
LOC101749525
LOC101749568
LOC101749640
LOC101749743
LOC101749818
LOC101749891
LOC101749911
LOC101749992
LOC101750037
LOC101750108
LOC101750145
LOC101750148
LOC101750150
LOC101750174
LOC101750202
LOC101750248
LOC101750303
LOC101750348
LOC101750371
LOC101750433
LOC101750451
LOC101750462
LOC101750506
LOC101750551
LOC101750584
LOC101750669
LOC101750770
LOC101750827
LOC101750948
LOC101750973
LOC101750974
LOC101750975
LOC101751097
LOC101751186
LOC101751355
LOC101751487
LOC101751521
LOC101751542
LOC101751578
LOC101751613
LOC101751701
LOC101751782
LOC101751783
LOC101751865
LOC101752070
LOC101752071
LOC101752072
LOC101752112
LOC101752151
LOC101752170
LOC101752249
LOC101752313
LOC107049085
LOC107049153
LOC107049154
LOC107049155
LOC107049159
LOC107049283
LOC107049314
LOC107049339
LOC107049342
LOC107049352
LOC107049360
LOC107049361
LOC107049363
LOC107049637
LOC107050470
LOC107051892
LOC107051894
LOC107051895
LOC107051896
LOC107051899
LOC107051903
LOC107051906
LOC107051908
LOC107051910
LOC107051913
LOC107051915
LOC107051916
LOC107051918
LOC107051919
LOC107051920
LOC107051921
